,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
97,0.08951052029927571,0.0077829850552856555,0.010421435038248697,0.0073690674778061896,balanced,entropy,9,,0.005,best,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'best'}",0.21305957590037025,0.2035840188014101,0.2302604381976023,0.21563467763312757,0.011041775209054085,204
137,0.09101041158040364,0.013677810617613348,0.011880079905192057,0.002642157837041774,balanced,gini,9,,0.05,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'best'}",0.20743700061462814,0.2044917257683215,0.23114158935054457,0.21435677191116476,0.011929409969624195,205
120,0.0636133352915446,0.012112040448673981,0.013088703155517578,0.003596475573882518,balanced,gini,6,,0.005,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'random'}",0.21084337349397592,0.1939206304531382,0.23607427055702918,0.21361275816804773,0.017320209046213987,206
135,0.08850773175557454,0.00884617062946128,0.01375428835550944,0.0026464288036051565,balanced,gini,9,,0.01,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'best'}",0.20192307692307693,0.2028604786923526,0.2319140140553948,0.2122325232236081,0.013922176351431505,207
133,0.08176048596700032,0.004484736026457241,0.015627066294352215,4.203806290765824e-06,balanced,gini,9,,0.005,best,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': None, 'min_samples_split': 0.005, 'splitter': 'best'}",0.19805194805194806,0.20204081632653062,0.2318181818181818,0.2106369820655535,0.01506563827054907,208
122,0.052512009938557945,0.00739755879891057,0.0052080949147542315,0.007365358462571784,balanced,gini,6,,0.01,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'random'}",0.20530393325387367,0.19413092550790068,0.22561459159397304,0.2083498167852491,0.01303235364825694,209
140,0.03142937024434408,0.00023800164430433382,0.015584309895833334,5.263107759271708e-05,balanced,gini,9,sqrt,0.01,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'random'}",0.21492241663915485,0.2186305179005909,0.18439919701749355,0.2059840438524131,0.015337681558968167,210
106,0.039136648178100586,0.006384863831478227,0.005209763844807942,0.007367718686088393,balanced,entropy,9,sqrt,0.05,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.22589928057553957,0.18673647469458987,0.20530275886778931,0.2059795047126396,0.015995308266720562,211
142,0.02921303113301595,0.0028105173016374435,0.013084808985392252,0.0035950718848302334,balanced,gini,9,sqrt,0.05,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.05, 'splitter': 'random'}",0.22589928057553957,0.18673647469458987,0.20500894454382826,0.20588156660465254,0.01600005089706519,212
104,0.03147562344868978,0.00032232418597775124,0.01042628288269043,0.0073725024126631445,balanced,entropy,9,sqrt,0.01,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_split': 0.01, 'splitter': 'random'}",0.2099483204134367,0.2186305179005909,0.18439919701749355,0.20432601177717372,0.014529363329741196,213
86,0.057835658391316734,0.006894788824275687,0.010420799255371094,0.007368617944856172,balanced,entropy,6,,0.01,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.01, 'splitter': 'random'}",0.20253164556962025,0.19439728353140917,0.19626972740315637,0.19773288550139526,0.0034782740123519033,214
88,0.060670932133992515,0.009903566731826708,0.009877284367879232,0.008934311435350537,balanced,entropy,6,,0.05,random,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.20280948200175591,0.193639178159302,0.1960161662817552,0.19748827548093772,0.0038857815397051114,215
124,0.05188886324564616,0.006756192601811645,0.007875839869181315,0.00637922359726434,balanced,gini,6,,0.05,random,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 6, 'max_features': None, 'min_samples_split': 0.05, 'splitter': 'random'}",0.20481569560047563,0.193639178159302,0.18922505307855628,0.19589330894611132,0.0065613953172883955,216
